,source,target
647,i ll tell you one thing though nobody s building shit on that mountain,one thing i tell you no one will build anything on that mountain
648,he wanted to cum on my face,he wanted to make my face
650,at least you ll have seats for your tits and all,then you ll have extra seats for all your tiaras and stuff
651,death to mesa,death mese
652,i look up and it s charlie smoot charlie fucking smoot,i ll look up and he s charlie smoot really charlie smoot
653,it s my shit,this is my mess
654,let s get the fuck outta here,let s get out of here
655,so you used me to get this fucking case dropped,did you use me to pull the case
656,call me pathetic call me what you will,call me quiz call me what you will
657,pussy,kitty
658,you just make sure there s some fucking work left for us,you just make sure there s some work to do
660,you want a blowjob,you want a gobby
661,you should ve let it hit her in the schnoz,you should have let it go she d have her nose
662,you animal zero two follow me,zero two follow me
663,you know why i don t want oneof your stupid umbrellas,and do you know why i don t want any of your umbrellas
664,you have to laugh so you can see that you know these guys look at your butt,you kind of laugh and chuckle to yourself like i know those guys
666,how can we say goodbye with these bastards watching,how can we say good bye when the bad guys stare at us
667,shit i gotta run,oh man i got to go
668,useless,none
669,you fool,you deceive
670,and sign the damn papers cause we re done,and sign the papers cause we re done
672,it s a f that s a really it s a,totally right it s
674,wait a goddamn minute,wait a minute
675,it s live damn it,it s live for chrissakes
676,no if they don t show up they re useless and you ve wasted your pension,they don t show prep s wasted and you re out of retirement for nothing
677,you guys are the dumbest bounty hunters i ve ever seen,you two are the closest bounty hunters i ve ever seen
678,less miles means less gas you old fool,less miles means less gasoline grandpa
679,don t fucking move,don t move
680,shit i never got big,hell i never played no big con
681,i don t give a shit,i don t give a
682,he shut up,he was silent
683,don t you have anything better to do than scurrying around and making a fool of yourself,don t you have better things to do than mince around and gawk
684,what the fuck you doing in my neighborhood boy,what are you doing in my street
685,i m just saying you can take the damn plastic off the couch once in a while mrs wolowitz,once in a while you could get that plastic off your couch
686,organized crime sit down shut up,sit down and be quiet
687,you human scum we got seconds on that bomb,we have seconds to get out of the bomb
688,damn fyers played us,hell fyers played us
689,just a dumb mood,it was just a mood
690,you fuck the kids candy david and me too,you don t care for the kids for candy for david for me
691,i ll shut your mouth,i ll make you quiet
692,come with me damn it,you re coming with me
693,shit he s trying to call his friends man,he s calling out his friends
694,goddamn you what about your son,stop what about your son
695,why don t you go over the stupid life decisions you ve made maybe think about how you can change that,why don t you go meditate on the poor life decisions you ve made maybe think about how you can turn it all around
696,i don t want to get involved she is a whore,i don t want to get involved
697,where s my goddamn chequebook,where s my checkbook
698,i am so screwed carl,i m so upset carl
699,oh shit sorry,excuse me
700,why are you so crazy,why do you act so weird
701,wear a fucking bathrobe for all i care,you can go in a bathrobe i don t care
702,and when i arrest you for trying to kill your husband there ain t a jury in the great state of kentucky that won t convict your ass,and when i arrest you for the murder of your husband no jury in the whole of kentucky will believe you didn t
703,we struggle until every stooge in this miserable administration is hung from a good old german oak tree,we are fighting as long as every panda of this government in a german oak tree is suspended
705,what the fuck will you do,what are you gonna do about it
706,the one rick derris fucked you at the pool table,might that have been the one where you banged rick derris on the pool table
707,i m on a mission to get my shit together i applied at this commercial realty company in studio city and this black guy he was the office manager and he s fuckin hella cool you know,i asked around for a real estate company in that business district and there was this black guy he was a deputy director and he was kind of a good looking guy you know
708,we re whores who sell the beauty on the doorstep of the powerful,we are harlots always peddling beauty at the doorsteps of the mighty
709,he kept smiling that damn smile made me watch him suck the meat off my fingers,he was smiling so much and he kept asking me to watch the meat loaf out of my fingers
710,how old is their damn kid,how many years is their son
711,translation spaghetti fried shit drunk,literal translation totally drunk fried noodles
712,bring me something i love i ll kill it,bring me something i love
713,i dated some crazy women none of them irish,he dated a bunch of women yes but no irish
714,mind you own fuckface,mind your own business
715,i am not gonna go out there and risk my ass for my wife,i m not risking my neck for my wife
716,he wanted to suck it right there,he wanted to snort it from down there
718,so stop saying that butt butthole,then stop saying that
719,in their fury the raiders took the women and tortured many raping and murdering them at the last,in anger the raiders turned to the women many of them tortured and murdered
720,shit hattie s got a massive tv,he s got a really big tv
721,why the fuck is he so fucking rude,why is he being so rough with him
722,but ron if he wasn t faking it and if so it would have been a really stupid joke he simply hadn t seen him,yet unless ron was faking and it was a very feeble joke if he was ron could not see it at all
723,rash on your neck probably not enough for cuddy,you have a rash on your neck
724,what if your decision to fuck up this morning resulted in the death of millions,what if your decision to sleep in that morning resulted in the deaths of millions
725,shoot you ll get nothing from me,you won t get any of me
726,ohhh yeah g fresh in the motherfucking house,g fresh in the coolest house
727,which one of you assholes tripped the alarm,which one of you dropped the alarm
728,it was mostly bullshit but the stargate came across my head,most of it was disinformation but the word stargate stuck in my head
729,we thought we were seeing rabbits so we wanted to shoot him that s all,we thought we seen a jackrabbit that s all
730,no i do not want a fucking whiskey,no i don t want any whiskey
731,in high school i fell in gowns and i poked my dick,in high school i became a goth freak and i pierced my wang doodle
732,shoot caleb,fire caleb
733,i do love your bloody cooch,i really love her
734,i saw on the internet that you were selling a chain to cash with eight balls,anyway i saw online that you sell a chain wallet with an eight ball on the chain
735,no goddamn thank you,no thank you
736,i pulled something in my groin,i put on something in my three year old
737,wait this is from garbage,hang on is this from the bins
738,no shit you were there,you were there
739,oh shit,christ
740,i didn t even say that shit,i didn t even say that
741,this has a jewish stink about it can t you smell it,this smells like breath don t you feel it
742,no and we didn t kiss dammit,no and we didn t kiss
743,none of your goddamn business that s what,it s none of your business what i m looking for
745,i know i made you pussy because you re just a sketch artist powell,look i know i used to mess with you cause you re just a sketch artist powell but
748,no arguments no complaints this is bullshit,no arguments no complaints
750,not even a fucking word okay,don t say anything else okay
752,right i want every anarchist commie trotskyist pinko leftie greasy bastard student rounded up and brought in here tonight,i want every anarchist communist trotskyist socialist leftist half hearted student here in the evening
753,in the woods like a dumb animal,i can t here in the woods like an animal
754,photos with the nutritionists hang with the players over to the school then we pregnancy test you to fuck,you get the picture now then you go to the players then go to school and then we do that pregnancy test
755,that s what assholes do raylan,it s what you do raylan
756,see i ain t no faggot,you see i m not a queer
757,how come you don t look so good in that suit shut up,how come you don t get a suit so hard
758,i want you to do your fucking job,you want my job no i want you to do your job
759,these people these crazy ones are a septic community,these people these whack jobs they re a tight knit community
761,i hate women when they do that,i hate when girl does this
762,raise your hand if you want to know what i think about all this shit,tell him to raise his hand who wants to know what i m thinking
763,you mad you bastard he didn t mean you any harm he was just trying to see whether you breathed or not,he didn t want to hurt you he was just trying to find out if you were breathing or not
764,either you adjust or you die,one adapts or dies
765,don t hide you coward,you can t hide from me come on out
766,frank what the hell are you doing here,frank what are you doing
767,you don t know shit about your own relationship,you don t know anythingabout your own relationship either
768,he made it his business to forgive you pigs,it was his calling to forgive you
769,so before you became a dick what did you do to make you feel better,so before you were a smoker what did you do to make yourself feel better
770,you should fuck off now while you still got the legs to carry you,you better get out of here while you re still standing
771,your dick jake,hi jake
772,sometimes you re fuckheads but in the end you re really smart,you ever piss me off but in the end you ve always been smart
773,especially when that tiger s a man slut,especially when a tiger is a good looking man
774,i told you that goines would get us shut up,i told you goines would get us
776,this guy with the fucked up face krone he was supposed to be our ride home,the guy with the scarred face krone he was supposed to bring us home
777,what the fuck are you doing down here,what for christ s sake are you doing down here
778,they re stealing my bloody clock,they steal my hours
779,ah god damn it it s completely broken,oh my god it s completely broken
780,quiet you shameful fools,silence semvergonha
781,there you go again with that crap,you re starting again
782,well it s too bad spousal privilege doesn t apply to bullshit marriages,it s a shame that marriage secrecy doesn t apply to meaningless marriages
783,his wife s in the hospital i ll kill myself,his wife s in the hospital
784,holy shit,jesus christ
785,now it s back to school dick,you fly back to school now little starling
787,and third find yourself a classic beauty shop to have a perfect ass and first class tits,and third find yourself a classic beauty with a perfect can and great toddies
788,shoot them when they re shooting at us so you said it,fire when fired upon that s what you said
789,aren t you a little crazy,doesn t that strike you as insane
790,shut up,stop it
791,anybody gets hurt during the score we leave them behind to die,anyone injured during the operation will be left to their own fate
792,my butt why don t we talk about it in my office,why don twe talk about it in my office
793,what are you stupid flaco,what are you flaco
794,you bastard you stole a jewish family s place,did you rob a jewish family
795,your shut up,your silence
796,mr spencer unless you have something that will help this investigation i suggest you shut the hell up,mr spencer if you don t have anything to help in this investigation i suggest you keep quiet
797,hmm hmm it s a lot better than sizzling in that hot box or draggin your ass through a bramble bush,it s better than frying in a hot box or going through a bush of blackberries
799,i hope i got shot,i hope it s the right one
800,just shut up,be quiet
801,you d see her now you fool said nobby urgently,of course you have you pillock said nobby urgently
802,and tonight i finally got to fuck her,and today she finally gave me
803,promise me you ll strangle him and bury him at least once a day,now i want you to promise me to feed him and hold him at least once a day
804,well i do really hate to go away from here thinking in any way you can blame my son for whatever that scum did to your family,well i don t really like the thought that you would blame my son for what some punk did to your family
805,you can either bitch and whine or we can get it over with,so either you can whine and hold or we can get through this together
806,thank you jesus shit,thank you god
807,some shit about he killed a cop,something that killed a cop
808,you guys are gonna make a joke and i m gonna destroy her,you guys you create fun and i destroy it
809,i m an asshole for racing with you,i m creased to race with you
811,deirdre was a thief,deirdre was the sneaky one
812,save your ass,save yourself
813,i m not taking your fucking money,i don t want your money
814,shit where s the navy,where s the navy
815,would you like a fag,would you like a cigarette
816,bloody waiter,good looking waiter
818,end of fucking story ok,end of story ok
819,another bunch of thieves,another bunch of smalltimers
820,because you might just as well go ahead and hang yourself,then you better hang on to the rope yourself
822,but it s stupid like you said right,you said it yourself right
823,shut up,silence
824,it s written on the damn wings,it s written under the fracking wing
825,hearts can t break silly,the heart can t just break
826,i can hear their fucking bombs already,i can hear their bombs now
827,walt you didn t tell me you were jerking off on your old bookie,walt you didn t tell me you were holding out on your old bookmaker i m gonna have to give them odds
828,about years ago me and vince were out at some dive bar in queens oh and he hooks up with this hot piece of ass as usual and he blows out,about years ago me and vince were in a bar in queens and he packed some pretty big bucks like he always did and evaporated
829,oh shit the hot squad has arrived plus one,oh hell he s got a hot team and a gym
830,they have tits with four eyes,they got goats with four eyes
831,you assholes are gonna miss cleaning out oil barrels pretty soon,after cleaning barrels of oil you ll miss it soon
832,well would you give me a few days to find someone new and maybe fuck you a few more times,okay can you give me a couple of days till i find someone for you
833,bah a simple task baszd meg he concluded fuck it,pah it s the bassist meg he added like nothing
834,you know the problem with you little niggas,you know what your problem is
836,fuck i spend too much time in front of my computer,hell i ve spent so much time in front of my computer
837,damn looks like john still owes money to these people,looks like john s still owed money to these people
838,you don t look for the money you fool,you don t look for the money gomer
839,christ there are some arseholes on the road,oh for god s sake it s on the road today
840,next thing they think you re full of shit said ron tossing the crumpled letter but this one says you convinced her and now she thinks you re a real hero she even added a photo wow,another one who thinks you re barking said ron throwing a crumpled letter over his shoulder but this one says you ve got her converted and she now thinks you re a real hero she s put in a photograph too wow
841,that s a pretty nice offer considering how much of a dick i was to you about your dad,that s a good offer considering how i treated you about your father
842,and mara fell deeper into the grief a wave behind the wave crying out of the stupidest glow of her soul,and mara descended into grief as wave after wave of sorrow issued from the deepest reservoir within her soul
843,we were fucking virgins,we were virgins
844,no no you make decisions in your life and if you fuck them up you have to pay for them,no no in life you make choices and if you screw up you have to pay for those choices
845,you re skinny you re hot you re gonna pack everybody bitch,you re thin you re hot you can get any guy you want biatch
846,there s enough to hang him already,we ve got enough to hang on now
847,am i not good looking enough for you or some shit,am i not handsome enough for you
848,what the fuck you doing in my neighborhood boy,what are you doing in my street
849,damned micheal look i i hate interrupt really but i gotta get back to my truck,i don t want to disturb you but i have to get to the car
850,and there is no tomorrow for those who do not have a final on saturday morning such as me i m pathetic,and neither will it for those who have the final exam on saturday morning i m poor
851,how any of this connects to the damn navy,how is this all connected to the navy
852,you will do what the fuck you re trained for,are you all ready to do what you re trained to do
853,seb mon ami a sweet stupid lady has invited me for steaks and only a bottle of rain duck will do,seb mon ami sweet deaf girl invited me to the steake but i need a bottle of rain duck
854,shit we can make a grand for it in a day,she could make us a grand a day
855,look what happens when i pull out the board but damn it cover your eyes,watch what happens when i pull out the plate but for gosh sakes don t forget to shield your eyes
856,fucking gonna be a hot one today,it s gonna be hot tonight
858,fucking nice one franco,nice shot franco
859,there are some ignorant people who think when a wife works that s because a husband fails to bring food to the table,there are some uneducated types who believe if the wife is working it is because the man cannot put the food on the table
862,and no stupidity if you value your life,and no tricks if you value your life
863,this is bullshit,this is such a crock
865,you call us fags,you call us pansies
866,we roll it new school i ll get that shit on facebook twitter bbm,if it s modern i ll put it on facebook twitter bbm
867,i m busting my ass here to be the perfect husband for you and the harder i work the less you care,i m giving myself up to he was the perfect husband for you and the more i work the less you care about it
868,shit call bob morton,call bob morton
869,i don t give a shit,i don t care
870,i thought you said you wanted to go get shit faced,i thought you wanted to go broke up
871,now that s what i call a fucking big cloud,now that s what i call a wee drop of the creature
872,hey we were here first asshole,we were here first man
873,she s a fat woman we need a skinny,we want a skinny lady
875,shut up,stop
876,haven t i always told you never even to go near those goddamn tanks,didn t i always tell you to never get close to the house
877,what the fuck are you looking at,what are you looking at
878,and how about you arrest his ass and get him out of my store,how about you arrest him and get him out of my shop
879,like jesus i ll bring my balls too,and just like jesus i m growing a pair
881,oh my god that is so ridiculous,oh my god this is so crazy
882,you ve got a long way to go you ve done a lot of things with your life to let him let you into that shit again,you ve come too far did too many things with your life to let him pull you back i ain t having this conversation
883,where the fuck you going,where are you going
884,we must sacrifice them both tonight,we both have to sacrifice tonight
885,boy you re an oaf,boy you re being rude
887,shit i know that name,hell i know him
888,you ever suck a guy look at me,you ve already done hey look at me
889,shit my people have done it a hundred times,my men havedone this a hundred times before
890,even free of bondage i am no spirit able to pass through fucking gate,even if i m not bound i m not the soul that s allowed to pass through the gate
891,you know what i m saying shit like that,you know what i mean things like that
892,intelligent but ignorant,intelligent but uneducated
893,you guys are in deep shit,guys you re in big trouble
894,i feel like my intestines came out of my ass,t is my guts out my hole come
895,load the bloody cattle now,load up the cattle now
896,don t know when the conversation is over dumb trivial shit,they don t know when the conversation is over
897,you ve become pathetic shadows of what once you were,you ve become poor shadows of what you used to be
899,you re filming me on the fucking camera in my cell phone,are you filming me with your ing camera phone
900,how many asses does your corporate policy allow you to grab,how many times will your corporate policy allow you to soar
901,erin find your goddamn boyfriend it s time to go kemper,erin find your boy we have to go
902,and witherspoon everybody knows you re the weakest link move it scum,and we all know that the weakest link is witherspoon
903,shut up,stop
904,i can not stop sucking me,i can t quit smoking
905,i m so worried about fi when he takes this shit,i m worried sick about fi taking that stuff
907,daddy she s shit,dad she s
908,here will holden ever fuck alyssa,does holden ever get alyssa
909,look in the eyes that will watch you swinging from that rope my ears will hear the crack of your neck breaking my nose will smell the shit in your pants and my mouth will laugh when you die,look in your eyes you ll see how you swing my ears will hear the crackle that breaks your neck my nose can feel how you ve done in your pants
910,i can t believe this mole is a traitor,i can t believe the mole was the mole
912,the kind one gets from years of running from people not sitting on your ass in a truck for hours a day,you train here for years running in front of people not sitting hours a day in a car
913,get your fucking hands off me,get your hand off me i can do this myself
914,you re a liar,that s a lie
915,i m screwed,i m stuck
916,you called to give me shit,did you call to tell me this
917,you can play the shit out of that guitar so i ll follow you anywhere you want but don t you ever be calling me no son,you can play the guitar perfectly so i ll lead you wherever you want but don t ever call me son
918,crewe s playing like shit,crewe don t play
919,suck it you may choke at first but then the worst goes away,smoke it you may choke at first but then the worst is over
920,congratulations and break your neck,congratulations and good luck
921,colin from human resources would you would you suck him off,so colin from hr vye would you smoke him out for him
922,she wants to change the damn fool sheets,so she can change the sheets
923,he bet the fucking horse,he put his horse on the horse
924,you can fuck off can t ya,well you can just butt out can t you
925,no shut up,no shush
926,give us what we want i ll buy you the whole damn shoe store,give us what we want and i ll buy you a whole shoe shop
927,i ll give you a motherfucking high five,i ll give him a high five
928,the difference between a fool and a sacrificial man is a willingness to die of conviction,the difference between a madman and a committed man willing to die for a cause
929,when you put your sign up take a little penknife carve my initials in the bot of that sucker okay,so when you hang up the sign you can put my initials on it in the corner
930,damn she took all my money too,she stole all my money
931,don t believe this shit,i don t believe it
932,you shut up your tutor,you knocked up your s a t tutor
934,where s your fucking volley,where s your oxen
935,once i got a guy in the hospital with his ass kicked,i put a guy in the hospital once with a rupture
937,july th was the day they d all get together in philadelphia and suck each other off,on june they met in philadelphia and smoked each other
938,drop dead franz,die franz
939,now get the fuck off my porch,now get out of my porch
940,leo marks is not man we can fuck with,leo mark isn t a guy we should be messing with
941,been here nine months i m still pushing trash,i ve been here eight months and i m still cleaning
942,for a fat ass joke,the fat joke
943,oh shit,oh sod
944,because there s a new sheriff here who s come clean the crap,cause there s a new sheriff in town and his gonna clean up this mess
945,damn martha to help you,bloody martha to help you
946,charge shoot,charge to discharge
947,but you seem to be unaware of the fact that it is worth the price of a good lunch just to sit and look at you while ignoring any silly babble that comes out of your mouth,i mean you look like this announcement doesn t convince you and it s not worth a good lunch where we would just sit and watch while you say something insignificant
948,damn he s good,he s good
949,honey lamb now ain t a good time to fuck with the man,sweetheart now is not the time for you to be in a man s
950,the police or pigs as they are affectionately known are always busy solving crimes,police or hairy as they are heartily called must constantly investigate crimes
951,i get enough of this shit from my parents,i have a lot at home from my parents
952,take off your fucking shoes,and take off your shoes
953,it s poor crazy tom,poor tom s a cold
954,can you shut the fuck up for one second,can you be quiet for a minute
955,come fucking get me,come and get me
956,such an arrogant impertinent ice princess and office rat,some stuck up pinche ice princess and a mousey little office clerk
958,coming up to you on the street that was a stupid move,coming to your place on the street was a bad move
959,idiot where are the bleachers,where s the whitefish
960,careful they ll be on your ass again soon,watch out they ll be coming for us soon
961,do you wanna keep your dick or not,you want him to stay don t you
962,you don t worry about it you dirty cop,i ll take it from there don t worry about it you puerco sucio
963,yeah fuck,oh man
964,they re so ugly,such ugly things
965,spongebob shut up,spongebob zip it
966,what the fuck are you two looking at,what are you staring at
967,do you know why we re such idiots,why do you think we re such wiseasses
968,now let the whole damn city hear it,that s the truth and let the whole town hear it
969,most goddamn loyal pet you could imagine,the most loyal animal imaginable
970,i just fucked up,i just messed up is all
971,can i trust this little bastard,can i trust this little knave
972,shoot me a toolbox,throw me the tools
973,a lot of people helped you out of that shit,many people helped out of the little jam
974,we re supposed to be partners damn,we should be partners
975,shit jack what d you do,what did you do to him jack
976,i said fuck off,i said get out
977,a foolish plea and she must have realized it,it was a pointless plea and she knew it
978,he s a goddamn angel,he s a decapitated angel
979,how long has he been fucking under,how long has he been like under the water
980,dammit,oh my god
981,fucking s a sin,it s a sin
982,it s like once when they asked me if i wanted to go out with them on a date and i thought they were idiots because i was just myself,like this one time they asked me to go on a double date and i thought they were tards because there s only one of me
983,indeed trevize he said you re crazy,really trevize he said
984,a tall skinny black whore,a tall thin black tart
985,hurley suck in your gut,hurley squeeze your stomach
986,show me some respect dummy,show some respect dude
988,the fucking a month,if you mean that lousy a month
989,and ward cleaver s a prick,and ward cleaver
990,he s like a goofy spineless jellyfish,like a strange spineless jellyfish
991,i got this shit all in my mouth,it s all over my mouth
992,man you know fuck i wanna help you but i don t wanna lose my wife doin it,okay look i want to help but i don t want to lose my wife
993,no that s not my fucking problem,it s not my problem
994,your capitalism sucks and weighs on the third world country,your capitalism rests on the back of third world countries
995,you got the heart of a damn lion,you have a heart of a lion
996,if we didn t know you we could have killed you,god forbid if you came to our neighborhood and we didn t know you
997,bullshit we can t force kiki to testify,bon bon we can t force kiki onto the stand
998,damn luis that s a lot of money,hell luis it s a lot of money
999,pearl of the fucking belt,jewel of the fracking belt
1000,shit,man
1002,what the fuck is this,what is this
1003,that was too much fucking cash kyle,that was a lot of money kyle
1004,poor fool you probably never even slept with her,i m sure you haven t slept with her yet
1005,he doesn t care what the hell you are,he doesn t care how you live
1006,like some kind of a brain eating parasite from one of her movies,like some kind of brainchild of one of her movies
1007,guys shut up,no it s quiet there
1008,damn you re lighter,hell you re lighter
1009,now get it back before they figure the damn thing out,now get it back before it all comes down to it
1012,you don t have to prove to us how big your balls are,you don t have to prove how brave you are
1013,fuck no,no you don t
1014,you kiss my ass,you kiss me
1017,she d still be here if it weren t for your deranged monster of a son,she would still be here without your confused son
1018,shit am i the only one who s in the park,am i gonna be the only one in the park
1019,shit you wasn t bluffing,you weren t bluffing
1020,hey fuck you,hey fiuckyou
1021,oh god if you were earning half of what you were worth you d buy your mom a fucking army,god if you were gonna make half of what you re worth you could buy your mom a harley
1022,jimmy s fucking dead,jimmy s already dead
1023,he s a huge gay strong,big warm strong and
1024,so long you dirty jew,good bye jew boy
1025,for god s sake shut up,for god s sake be quiet
1026,oh heart holy shit that scared me,you scared the hell out of me
1027,bags damn advice fees decrees your liberties your eggs on soft and crisp toast a cup of tea and three sugars,yeah of course we do bags bleedin councils rates by laws flamin liberties eggs over easy chunky toast mug of tea and three sugars
1028,i ll ask you a fucking question,i ll ask you one question
1029,ohh shit i sat on your hat,i m sitting on your hat
1030,who invented the shit you poured into me,say who figured out that stuff you poured into me
1031,i m tired of this shit man,i m tired of this
1032,i can hear you fucking breathing friend,i hear you breathing man
1033,the hell do you think you are,who do you think you are
1034,yeah yeah yeah we deliver a couple of pizzas to him damn nr every night,yeah yeah yeah we re gonna get him two pizzas every night
1035,tomorrow shit,tomorrow
1037,they march this poor bastard out and read him his rights,they took the poor guy out and read him the rights
1038,hey it s too bad you can t look at your tits just like your hip,hey too bad you can t watch your goats as well as your flank
1039,bullshit you didn t watch dawson s creek,you didn t look at dawson s world
1040,we never hada fucking problem like this before,we ve never had a problem like this before
1041,you can t leave me over this shit,you can t leave me in such a mess
1042,i m not giving you ultimatums or any of that crap,i don t give you ultimatums or other things
1044,i hope you re the first man killed in it,i hope they get you first
1045,you are still the prettiest goddamn cop in this town,you re still the prettiest cop in the neighborhood
1046,maybe i ll give him some spanish fly so he won t have a problem shooting them full of his filthy aids in front of a crowd,i ll give them spanish mums so they don t have a problem in front of an audience
1047,i ll wait in the back while you re having a hobo and sucking up,i hang back while you guys do some trust falls and binge drinking
1048,we rented this ship for the weekend so if you don t mind you know what fuck off,we ve hired this thing for the weekend so if you don t mind you know shoving off
1049,shut up,shh be quiet
1050,buy some pink shit,buy something pink
1051,what the fuck is he doing at columbia,what s he doing at columbia
1052,fuck,jimmy
1053,please don t make a fool of me,please do not mock me
1054,one more goddamn time archie,one more time archie
1057,he walks in a room his dick s already been there for two minutes,when he enters the room his bird has been there for two minutes
1058,fuck the fence,on the fence
1059,this piece of shit is leaving the fucking building all right,this piece of debacle leaves the building okay
1060,it s gonna kill me,my eyes are killing me
1061,oh shit,oh gosh
1062,what the fuck do you want,what do you mean
1064,when we talked the woman unveiled her genitals scratched them and we wiped out how she did it,as we conversed the woman uncovered her pudendum and scratched it and we saw her doing so
1065,you have crappy judgment anyway,in fact you always have poor judgment
1066,the streets are in fucking chaos bobby,the streets are pure chaos bobby
1067,if you sell worth on this stock i will personaly give you a blow job for free,if you sell a share for grand i ll personally give it to you for free
1068,shit it was more like,more than twenty
1069,fuck off sigi,buzz off sigi
1070,farewell fools he bellowed and tugged,bye bye he bellowed then jerked the rope around
1071,come on dick come out,come out tracy
1072,want your job back shit,you want your job back
1073,but how do i start this damn thing,how do i get this thing started
1074,well he s always hanging around with fags around the park of flamingos,i mean he s always hanging out with the brokeback boys down at flamingo park
1075,at least the jackass doesn t have to wear a dress,a piscator doesn t need to wear a costume
1076,i hate them,i hate that
1078,we re prepping the next issue we got that stupid meeting in the morning,we re preparing the next number and we have a business meeting in the morning
1080,i mean this might be the last chance we have to do something incredibly stupid together,this could be our last chance to do something really crazy together
1081,want some fucking cheese lady huh,you want a cheese ma am
1083,there s no way i m gonna bust my ass while he gets rich,i m not going to make sure he gets rich
1084,show me or i ll shoot,show yerself i m armed
1085,kids shitkick the place,kids are gonna break that place
1086,i may be a tigress but not a bitch,maybe i m a tigress but i m not hyena
1087,nobody gave a crap about clark kent,but no one cared about clark kent
1088,cancers in their breasts,tumors in the chest
1089,why are you such a psycho,why are you doing this
1090,i just flexed my cock muscle,i just bent the muscle on the bird
1091,eating dinnerand watching the fucking simpsons,they re eating dinner and staring at the simpsons
1092,hundreds of kilometers behind rachel and tollandom letelo on juh low over the left moronic lioness of a chic quirk,hundreds of miles behind rachel and tolland a strange looking aircraft stayed low as it tore south above a deserted ocean
1093,only a fool would side with his father s foe,i don t think he would have joined the side of the enemy of his father
1094,you don t know when they ll fuck you up so you ve said and you ve done it for me,you don t know where they were sending you you said so yourself and you did it for me
1095,how can you live with yourself you horrible evil man,how can you live with yourself the bad men
1096,not a picture of your fucking mom,not a picture of your mother
1097,get your ass out of there,get out of there
1098,what the fuck is that,what s that about
1099,keep us in the dark feed us on bullshit,keep us in suspense feeding us cows
1100,hit the damn button,press the button
1101,fuck i m gonna get that call again,hell i ll have that phone again
1102,and don t fuck with your feet said harry,and pick up your feet said harry
1103,no damn letters,no blasted letters today
1105,shit you walk into the lion s den on your own huh,oh man you re just gonna walk into a wolf s den
1106,we haven t even been able to isolate the damn thing,we haven t even managed to isolate him yet
1107,when you finally get out of this shithole i ll go too,when you finally ditch this place i m gonna leave too
1108,she doesn t fucking deserve me,she don t deserve me
1110,make it a murder suicide,make it look like a murder suicide
1111,i am a pacifist ass befits a philosopher and thiss is barbaric,i m a pacifist as a philosopher is one and this is barbaric
1113,god enough of this family bullshit,christ that s enough of the family pish
1114,lie down damn it,then just lie for god sakes
1115,you re my only real friend you son of a bitch,youre my only real friend lm not leaving you do you understand that
1116,the only request i refused was a t shirt that said dcak on the front and keep on living fuckers across the back,the only request i refused was on a t shirt with a dcmv in front and live blaze buoys in the back
1117,oh damn that s a shame,well that s a shame
1118,you son of a bitch do you want to be a painter,wow you want to be a painter
1119,you know i m the one who s always gonna end up with this shit,you know it s always me that ends up with the dirt
1120,i don t need this shit lady,i don t need this
1121,brilliant shit,bloody marvelous
1122,shit trish is ebony clark,ebony clark is trish
1123,but i do know this if you keep cracking jokesand taking another drink and pretending that lifeis one big stupid party you will miss everything,but i know this if you re just gonna joke around keep drinking and pretending that life is just one big party you ll lose everything
1124,i ain t going to fucking dubai to sit around with a bunch of towelheads,i m not going to go to dubai for some turbans
1125,fuck that i don t care what my sister said i m not letting you take our tree,i don t care what the nurse said i won t give you our tree
1126,that was very easy and very ridiculous,oh it was very simple and very droll
1127,actually dolphins aren t fish they re mammals shut up,well actually dolphins are mammals not fish
1128,he was an ass,it was a donkey
1130,you told me he was just a fool to fall in love,you told me only saps fall in love
1131,what in the fuck is wrong with you,what s wrong with you
1132,even with that shit music the guys love you,those guys love you even with this music
1133,it was a stupid idea,this was a terrible idea
1134,oh fucking finally,oh finally
1135,so we take the fucking stairs,so we have to take it up the stairs
1136,you re welcome he speaketh the truth all you had to do was ask her out for coffee or a goddamn piece of pie,you should have invited coffee to the restaurant with a piece of cake
1137,why don t you fuck off to africa and teach hiv awareness to the lions,why don t you go to africa and teach lions about the dangers of the hiv virus
1138,i was running down the street in my damn drawers,i only ran down the street in my underwear
1139,yeah he s like i ll take the boy and she oh not my sight and he s on the toe oh yeah we ll see about that you fucking cunt,yeah he was all like i m gonna take a dude as my date and she was all like oh not on my watch and then he was all like oh yeah
1140,the buffoons will be gone,the jokers will be gone soon
1141,kill the lancers,killed by lancers
1142,don t be silly no one noticed the wig,nobody noticed the wig
1143,how the fuck does this help me,how the does this help me
1144,shit newbie you are as smart as you think you are,hell newbie you re really as good as you think you are
1145,shut up she s told enough,be quiet you ve said enough
1146,gave me this fucking headache,he s giving me a headache right now
1147,she can t prove shit,he can t prove anything
1148,six bedrooms four baths and a fully equipped gym that that idiot shouldn t have been using,six rooms four bathrooms and a fully equipped gym none of which was supposed to have clocked
1149,i told you just to keep one car is bullshit,i told ya that one car thing was a bad idea
1150,it s shitty luck to sit in such a shitty seat,it s a hell of a place to sit in this place
1151,can t wait to see the look on fresno s face when johnny whips his ass,i can t wait to see the look on fresno s face when johnny blows his eyes out
1152,as soon as they come hit them,soon as they come in let it go
1153,i miss fucking you,i miss you
